dataset,id,resolution,sampling,method,width,height,rgb_sha256,ciede2000,cpsnr_rgb,fsim_luma,mae_rgb_255,mse_rgb_255,ssim_luma
uhd240,4K/4K_80/0024.png,4K,cosited_point,prism_cartesian_prob,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.3457021828858683,51.32932385434232,0.999879777431488,0.4328419576260288,0.47879320183899177,0.9982582542362396
uhd240,4K/4K_80/0024.png,4K,cosited_point,prism_polar,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.3510741710862152,51.20178557372881,0.9998807907104492,0.4413965245627572,0.4930623070987654,0.9982483550280344
uhd240,4K/4K_80/0024.png,4K,cosited_point,prism_polar_prob,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.37137841681482797,50.75975127821255,0.9998845458030701,0.46840185345936214,0.5458901186342593,0.9982422613553172
uhd240,4K/4K_80/0024.png,4K,cosited_point,prism_residual,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.34614821886383396,51.31799309928344,0.9998798370361328,0.43427264178240743,0.4800440055941358,0.9982554286559051
uhd240,4K/4K_80/0024.png,4K,cosited_point,scaled_decode_first/bicubic,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.11735092538066652,56.13801100174379,0.9999973177909851,0.1401197595164609,0.15822651427469137,0.9996985400523651
uhd240,4K/4K_80/0024.png,4K,cosited_point,scaled_decode_first/bilinear,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.12616974846824464,55.55054902401161,0.9999969005584717,0.15143140753600823,0.1811446277006173,0.9996642174043605
uhd240,4K/4K_80/0024.png,4K,cosited_point,scaled_hybrid/bicubic,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.27086994762065403,51.93370610478781,0.9999875426292419,0.34396379886831274,0.41659087255658434,0.9993667889287018
uhd240,4K/4K_80/0024.png,4K,cosited_point,scaled_hybrid/bilinear,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.25315391460466136,52.249466810567654,0.9999862909317017,0.3196639499742798,0.38737686471193417,0.9993959787781233
uhd240,4K/4K_80/0024.png,4K,cosited_point,scaled_lifting/bicubic,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.27030484360075285,51.879736513991226,0.9999855160713196,0.3457821743184156,0.42180013020833335,0.9993659109683272
uhd240,4K/4K_80/0024.png,4K,cosited_point,scaled_lifting/bilinear,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.25264944922650573,52.1980753542106,0.999984085559845,0.3215874565972222,0.39198804816100824,0.9993960843178664
uhd240,4K/4K_80/0024.png,4K,cosited_point,scaled_matrix/bicubic,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.17438676880214468,54.44185031869588,0.9999864101409912,0.21230874646347736,0.23382736143261318,0.9995138837609141
uhd240,4K/4K_80/0024.png,4K,cosited_point,scaled_matrix/bilinear,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.17645031346442316,54.1946461137116,0.9999857544898987,0.21498380433384773,0.24752310796039095,0.9995376390804183
uhd240,4K/4K_80/0024.png,4K,cosited_point,v5,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.8719299382144254,42.35737646290954,0.9993706345558167,1.4863890898276748,3.7787026186342594,0.9974992319553931
uhd240,4K/4K_80/0024.png,4K,cosited_point,v5_1,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.5552805328235588,46.680381060535076,0.9994112253189087,0.8203628150720165,1.3965042277520576,0.9976592044783283
